0,0
1,2
2,1
3,0
4,2
5,2
6,0
7,1
8,1
9,0
10,2
11,1
12,1
13,0
14,0
15,0
16,1
17,1
18,2
19,1
20,1
21,2
22,1
23,1
24,2
25,1
26,2
27,2
28,1
29,1
30,0
31,0
32,1
33,2
34,2
35,0
36,1
37,1
38,0
39,0
40,2
41,1
42,0
43,0
44,0
45,2
46,1
47,0
48,2
49,0
50,0
51,1
52,0
53,1
54,1
55,0
56,2
57,0
58,1
59,0
60,0
61,2
62,0
63,0
64,1
65,0
66,1
67,2
68,1
69,2
70,1
71,2
72,1
73,2
74,2
75,0
76,1
77,2
78,0
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,1
102,0
103,1
104,0
105,2
106,1
107,0
108,0
109,0
110,1
111,0
112,2
113,1
114,0
115,2
116,1
117,0
118,0
119,1
120,0
121,0
122,0
123,1
124,2
125,0
126,1
127,2
128,0
129,0
130,0
131,0
132,0
133,1
134,2
135,2
136,0
137,0
138,2
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,2
150,0
151,0
152,0
153,2
154,1
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,0
170,0
171,2
172,0
173,0
174,0
175,1
176,1
177,2
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,1
197,1
198,1
199,2
200,1
201,2
202,1
203,2
204,1
205,0
206,0
207,1
208,2
209,1
210,1
211,2
212,1
213,1
214,2
215,0
216,1
217,0
218,1
219,1
220,1
221,1
222,0
223,0
224,1
225,1
226,1
227,0
228,0
229,1
230,0
231,1
232,0
233,0
234,1
235,0
236,2
237,1
238,0
239,0
240,1
241,2
242,2
243,1
244,0
245,1
246,0
247,1
248,0
249,1
250,0
251,2
252,1
253,1
254,0
255,2
256,1
257,0
258,1
259,0
260,0
261,1
262,1
263,0
264,2
265,0
266,2
267,2
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,2
278,0
279,0
